"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","reference","fdr.pval"
"1","Pleuromutilins","species","dog",-8.78898058248103,0.299432552571007,2874,496,1.41132046431893e-164,5.08075367154814e-163,"cat",7.62113050732222e-163
"2","Macrolides","species","dog",4.63225847285065,0.250654531167285,2874,2773,1.50465505831203e-70,2.70837910496165e-69,"cat",4.06256865744248e-69
"3","Streptogramins","species","dog",6.41696356200058,0.417844881888716,2874,1927,1.19584761889844e-49,1.43501714267813e-48,"cat",2.15252571401719e-48
"4","Aminoglycosides","species","dog",3.64253848124521,0.366960892364981,2874,2616,2.94442183485064e-22,2.64997965136557e-21,"cat",3.97496947704836e-21
"5","Sulfonamides","species","dog",3.04675959336809,0.371038893321022,2874,627,4.24913276790541e-16,2.54947966074324e-15,"cat",3.82421949111487e-15
"6","Sulfones","species","dog",3.04663385136287,0.370959433105704,2874,627,4.20333161502629e-16,2.54947966074324e-15,"cat",3.82421949111487e-15
"7","Tetracyclines","species","dog",0.524993403989472,0.118542514453137,2874,2865,1.03078241617737e-05,5.30116671176935e-05,"cat",7.951750067654e-05
"8","B.lactams","species","dog",1.50666370321719,0.372390872133059,2874,2517,5.41409468081877e-05,0.000243634260636845,"cat",0.000365451390955267
"9","Quinolones","species","dog",1.57868464723555,0.536451530434262,2874,1285,0.00332943101170268,0.0133177240468107,"cat",0.0199765860702161
"10","Nitroimidazoles","species","dog",0.995145249381114,0.342299544396738,2874,826,0.0037475381636621,0.0134911373891836,"cat",0.0202367060837753
"11","Nucleosides","species","dog",1.22966670063658,0.44347203713402,2874,1201,0.00566609607934677,0.0185435871687712,"cat",0.0278153807531569
"12","Disinfecting.agents.and.antiseptics","species","dog",1.34028626237062,0.491213335579941,2874,1201,0.00647387391033756,0.0194216217310127,"cat",0.029132432596519
"13","Streptogramins","species","human",8.89103600170027,2.90186792758551,2874,1927,0.00722924506480912,0.0200194478717791,"cat",0.0300291718076687
"14","Phosphonic.acid.antibiotics","species","dog",0.964053635344366,0.367946050219321,2874,821,0.00891111071269799,0.0229142846897948,"cat",0.0343714270346923
"15","Ansamycins","species","dog",1.11507857211336,0.457281765355931,2874,1090,0.0149164820127543,0.0357995568306104,"cat",0.0536993352459155
"16","Aminocoumarins","species","dog",1.03195634646214,0.458337968181322,2874,1081,0.0245754055113092,0.0552946624004458,"cat",0.0829419936006685
"17","Peptide.antibiotics","species","dog",0.907734225807169,0.446957529085701,2874,1127,0.0425217887817578,0.0900461409496048,"cat",0.135069211424407
"18","Macrolides","species","human",4.26597356419143,1.98869675725536,2874,2773,0.0453206355676335,0.090641271135267,"cat",0.135961906702901
"19","Phenicols","species","dog",0.947722961951077,0.482449341527194,2874,1369,0.0497018182882201,0.0941718662303117,"cat",0.141257799345468
"20","Pleuromutilins","species","human",-7.18938042232094,3.54191906933564,2874,496,0.0567197542013663,0.102095557562459,"cat",0.153143336343689
"21","Tetracyclines","species","human",1.16413041871854,0.762524143787582,2874,2865,0.147883105758943,0.25351389558676,"cat",0.380270843380139
"22","Aminoglycosides","species","human",2.77467592824326,2.08802936344613,2874,2616,0.200464266720818,0.328032436452247,"cat",0.470655234909747
"23","Peptide.antibiotics","species","human",-3.33804655276877,2.47604610427084,2874,1127,0.19430350163722,0.388607003274441,"dog",0.470655234909747
"24","Aminocoumarins","species","human",-2.8201608954116,2.51254419241524,2874,1081,0.276949852713374,0.43509201041626,"dog",0.517609460667619
"25","Ansamycins","species","human",-2.90739854347511,2.55585937608812,2874,1090,0.270469680669982,0.43509201041626,"dog",0.517609460667619
"26","Disinfecting.agents.and.antiseptics","species","human",-3.31912219850266,2.69621427132012,2874,1201,0.234194608572792,0.43509201041626,"dog",0.517609460667619
"27","Lincosamides","species","human",-1.77886956979056,1.53810246078606,2874,2838,0.261466091500607,0.409251273653125,"cat",0.517609460667619
"28","Phosphonic.acid.antibiotics","species","human",-2.46076399837973,2.18905322608191,2874,821,0.277975451099277,0.43509201041626,"dog",0.517609460667619
"29","Quinolones","species","human",-3.41357940528004,2.92295068345596,2874,1285,0.258251760247542,0.43509201041626,"dog",0.517609460667619
"30","Lincosamides","species","human",-1.65370747673338,1.53161781047136,2874,2838,0.293678067825393,0.440517101738089,"dog",0.528620522085707
"31","Peptide.antibiotics","species","human",-2.43031232640491,2.49592112400884,2874,1127,0.342724178855339,0.514086268283009,"cat",0.597003408328655
"32","Nitroimidazoles","species","human",-1.63206942139878,1.73706543889763,2874,826,0.360358792046052,0.518916660546315,"dog",0.608105461577713
"33","B.lactams","species","human",2.67087688431316,2.97869481056644,2874,2517,0.382672580368626,0.551048515730822,"cat",0.626191495148661
"34","Streptogramins","species","human",2.47407243975178,2.8868871339733,2874,1927,0.403974049703743,0.550362544629773,"dog",0.636848087357309
"35","Tetracyclines","species","human",0.639137014671793,0.757942479175959,2874,2865,0.41277190847233,0.550362544629773,"dog",0.636848087357309
"36","Aminocoumarins","species","human",-1.78820454801729,2.5331375298014,2874,1081,0.489329791490436,0.600605234281404,"cat",0.685750862758578
"37","Ansamycins","species","human",-1.79231997139928,2.57601634602659,2874,1090,0.495357520717708,0.600605234281404,"cat",0.685750862758578
"38","Disinfecting.agents.and.antiseptics","species","human",-1.97883589187179,2.71825889288224,2874,1201,0.475751148071808,0.600605234281404,"cat",0.685750862758578
"39","Lincosamides","species","dog",-0.125162090396455,0.19988694592988,2874,2838,0.531280299482327,0.600605234281404,"cat",0.685750862758578
"40","Phenicols","species","human",-1.73017291970509,2.90651172083871,2874,1369,0.55875996224773,0.678883829806493,"dog",0.685750862758578
"41","Phosphonic.acid.antibiotics","species","human",-1.49671033856055,2.20430741390822,2874,821,0.506858296133895,0.600605234281404,"cat",0.685750862758578
"42","Quinolones","species","human",-1.8348947616366,2.94719600118155,2874,1285,0.541214611333093,0.600605234281404,"cat",0.685750862758578
"43","Sulfonamides","species","human",1.59420086930029,2.62408406729639,2874,627,0.550554798091287,0.600605234281404,"cat",0.685750862758578
"44","Sulfones","species","human",1.59553071612829,2.62229376908649,2874,627,0.549956789011474,0.600605234281404,"cat",0.685750862758578
"45","Sulfonamides","species","human",-1.45255872400866,2.61101554799847,2874,627,0.584475851208173,0.678883829806493,"dog",0.686263001869606
"46","Sulfones","species","human",-1.45110313512445,2.60922206458389,2874,627,0.584594409000035,0.678883829806493,"dog",0.686263001869606
"47","Nucleosides","species","human",1.20594489202266,2.40799965007503,2874,1201,0.622415155567839,0.659027811777712,"cat",0.715115285120496
"48","Pleuromutilins","species","human",1.59960016100779,3.53551560359796,2874,496,0.65614826336154,0.738166796281732,"dog",0.738166796281732
"49","Aminoglycosides","species","human",-0.867862554557392,2.07201481027776,2874,2616,0.680406969198978,0.740989690225191,"dog",0.749836251770302
"50","B.lactams","species","human",1.16421318104323,2.96705965360698,2874,2517,0.699823596323791,0.740989690225191,"dog",0.755809484029694
"51","Nitroimidazoles","species","human",-0.63692417186293,1.75366786143395,2874,826,0.720709656589911,0.741301361063909,"cat",0.763104342271671
"52","Phenicols","species","human",-0.782449959669461,2.92627118621801,2874,1369,0.792013304797221,0.792013304797221,"cat",0.82247535498173
"53","Macrolides","species","human",-0.366284927067402,1.98080334651886,2874,2773,0.855316833346542,0.879754457156443,"dog",0.871454886805911
"54","Nucleosides","species","human",-0.0237218110669618,2.38771716937093,2874,1201,0.992182789733211,0.992182789733211,"dog",0.992182789733211
