"feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","reference","fdr.pval"
"Oscillospiraceae_SGB_53576","species","cat",10.0546020151475,0.222495996203332,2989,305,0,0,"dog,facility",0
"Roseburia_hominis_SGB_4936","species","human",6.68598778200259,0.127263299434824,2989,252,0,0,"dog,facility",0
"Atopobiaceae_SGB_14350","species","cat",11.1646254728022,0.250724561876136,2989,162,3.7893752549979e-288,5.95689790085671e-285,"dog,facility",4.46767342564252e-285
"Lachnospiraceae_SGB_4861","species","cat",9.69855524016052,0.174952907092011,2989,382,2.32793577693755e-259,2.74463628100937e-256,"dog,facility",2.05847721075703e-256
"Lachnospiraceae_SGB_106017","species","cat",7.75735750787725,0.188113518244546,2989,148,8.43672075815504e-256,7.95751501909183e-253,"dog,facility",5.96813626431887e-253
"Coriobacteriaceae_SGB_14375","species","cat",9.38233980571301,0.200223866073096,2989,301,2.53266407542493e-255,1.990673963284e-252,"dog,facility",1.493005472463e-252
"Drancourtella_massiliensis_SGB_4619","species","cat",5.19588672747615,0.136804487430133,2989,161,6.71885195357592e-255,4.52658654472343e-252,"dog,facility",3.39493990854257e-252
"Coriobacteriaceae_SGB_53888","species","cat",14.4728185881544,0.355595012234645,2989,304,2.87782847067956e-233,1.6964798834656e-230,"dog,facility",1.2723599125992e-230
"Blautia_sp_Marseille_P3201T_SGB_29394","species","cat",7.94073877822649,0.223191276175688,2989,369,2.99644069241819e-226,1.57013492282713e-223,"dog,facility",1.17760119212035e-223
"Roseburia_sp_AF02_12_SGB_4938","species","human",5.61887297087197,0.154119285287395,2989,193,1.25964734598399e-220,5.94049688366048e-218,"dog,facility",4.45537266274537e-218
"Gemmiger_SGB105726_SGB_105726","species","cat",8.39341810975558,0.24173631744459,2989,176,8.95329900168883e-198,3.83852346290587e-195,"dog,facility",2.8788925971794e-195
"Eubacterium_ramulus_SGB_4959","species","human",4.36513108648487,0.130758855597865,2989,186,9.45039541692964e-193,3.71400539885335e-190,"dog,facility",2.78550404914001e-190
"Peptacetobacter_SGB6132_SGB_6132","species","cat",-12.7643399711562,0.384833319527859,2989,1189,4.05080284247362e-185,1.46950663116197e-182,"dog,facility",1.10212997337148e-182
"Roseburia_hominis_SGB_4936","species","human",6.65845420868689,0.211930484454021,2989,252,2.07034386626645e-184,8.87612879392054e-182,"cat,facility",5.23057589641745e-182
"Fusicatenibacter_sp_CLA_AA_H277_SGB_4780","species","human",2.92378645794298,0.0959539317589846,2989,163,1.10179285626515e-165,3.71146793581888e-163,"dog,facility",2.59802755507322e-163
"Lachnospira_pectinoschiza_SGB_5089","species","human",3.71153960132405,0.122276537811312,2989,167,1.14011521033633e-164,3.58452222129743e-162,"dog,facility",2.52036718684975e-162
"Firmicutes_bacterium_AM41_11_SGB_6817","species","cat",7.68788416517548,0.253158393437982,2989,175,8.70699572971579e-162,2.56638699133373e-159,"dog,facility",1.81156728800028e-159
"Blautia_SGB4793_SGB_4793","species","cat",11.6458278986386,0.213807577333865,2989,421,4.99893159825383e-154,1.38676243631559e-151,"dog,facility",9.82290059056877e-152
"Oscillospiraceae_bacterium_Marseille_Q3528_SGB_4778","species","human",3.07851643816074,0.107889062815911,2989,137,1.56503739106305e-149,4.10039796458519e-147,"dog,facility",2.91344065904737e-147
"Clostridium_sp_AM49_4BH_SGB_4652","species","human",3.72544253724754,0.130594834617591,2989,140,3.12257651548927e-149,7.75056360370916e-147,"dog,facility",5.52227656764277e-147
"Oscillibacter_valericigenes_SGB_15053","species","human",6.13100311002982,0.0937173320588321,2989,241,8.36247922586047e-148,1.9718726014579e-145,"dog,facility",1.40848042961278e-145
"Roseburia_faecis_SGB_4925","species","human",9.80936115929403,0.123893252997911,2989,267,2.84945393565472e-140,6.3990594097846e-138,"dog,facility",4.58114480473216e-138
"Blautia_hansenii_SGB_4794","species","cat",-14.8463430839671,0.482200888268144,2989,2170,1.80033636489417e-135,3.85926649856406e-133,"dog,facility",2.76860422723073e-133
"Firmicutes_SGB_15368","species","human",3.28367639646394,0.122475752673785,2989,127,3.94861340227747e-134,8.09637426310459e-132,"dog,facility",5.81926900160642e-132
"Turicibacter_sp_1E2_SGB_39153","species","cat",-13.3023410993869,0.437113305310039,2989,1057,1.1777229047356e-133,2.31422550780545e-131,"dog,facility",1.66624236561993e-131
"Firmicutes_SGB_15368","species","human",3.28371061765255,0.124625165217528,2989,127,1.95006938751507e-131,5.74782951970068e-129,"cat,facility",2.652844393708e-129
"Collinsella_SGB63083_SGB_63083","species","cat",4.65456764994056,0.173522685831445,2989,207,3.37986300508612e-128,6.37577357279446e-126,"dog,facility",4.42762053666282e-126
