"sample_id","sample_id_metaphlan","subject_id","study_readable","species","sex","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"SRS097920","SRS097920","SRS097920","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS054590","SRS054590","SRS054590","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS149879","SRS149879","SRS149879","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS013382","SRS013382","SRS013382","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018888","SRS018888","SRS018888","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016438","SRS016438","SRS016438","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013476","SRS013476","SRS013476","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014287","SRS014287","SRS014287","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016335","SRS016335","SRS016335","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS893259","SRS893259","SRS893259","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS052697","SRS052697","SRS052697","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893378","SRS893378","SRS893378","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS065397","SRS065397","SRS065397","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS056481","SRS056481","SRS056481","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS150029","SRS150029","SRS150029","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1055056","SRS1055056","SRS1055056","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014391","SRS014391","SRS014391","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS020508","SRS020508","SRS020508","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041095","SRS1041095","SRS1041095","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS047741","SRS047741","SRS047741","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS063190","SRS063190","SRS063190","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS149784","SRS149784","SRS149784","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015663","SRS015663","SRS015663","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS048164","SRS048164","SRS048164","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015694","SRS015694","SRS015694","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS022524","SRS022524","SRS022524","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS063928","SRS063928","SRS063928","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041122","SRS1041122","SRS1041122","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS021219","SRS021219","SRS021219","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041037","SRS1041037","SRS1041037","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041033","SRS1041033","SRS1041033","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015133","SRS015133","SRS015133","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019601","SRS019601","SRS019601","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS046810","SRS046810","SRS046810","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS044535","SRS044535","SRS044535","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS011405","SRS011405","SRS011405","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS021153","SRS021153","SRS021153","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014459","SRS014459","SRS014459","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018133","SRS018133","SRS018133","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS047433","SRS047433","SRS047433","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS076756","SRS076756","SRS076756","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041132","SRS1041132","SRS1041132","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS098655","SRS098655","SRS098655","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS076876","SRS076876","SRS076876","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041036","SRS1041036","SRS1041036","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS020328","SRS020328","SRS020328","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015388","SRS015388","SRS015388","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018427","SRS018427","SRS018427","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS017248","SRS017248","SRS017248","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS075878","SRS075878","SRS075878","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017247","SRS017247","SRS017247","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041031","SRS1041031","SRS1041031","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS020622","SRS020622","SRS020622","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013951","SRS013951","SRS013951","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS017521","SRS017521","SRS017521","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015453","SRS015453","SRS015453","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS017375","SRS017375","SRS017375","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015246","SRS015246","SRS015246","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017191","SRS017191","SRS017191","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS012849","SRS012849","SRS012849","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015217","SRS015217","SRS015217","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS020394","SRS020394","SRS020394","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018606","SRS018606","SRS018606","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014948","SRS014948","SRS014948","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1054691","SRS1054691","SRS1054691","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS045004","SRS045004","SRS045004","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016517","SRS016517","SRS016517","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
