feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	reference	fdr.pval
UniRef90_Q8G3I2..Isoleucine..tRNA.ligase	species2	cat	8.549935206	0.236421536	2657	303	3.96E-231	2.40E-228	dog	3.60E-228
UniRef90_Q46306..Tetracycline.resistance.protein.TetP	species2	cat	-7.580497899	0.35556137	2657	1417	4.22E-92	1.28E-89	dog	1.92E-89
UniRef90_A0A3A1YQQ5..Beta.lactamase	species2	HMP1-II	1.074527987	0.05521725	2657	44	5.90E-79	1.19E-76	dog	1.79E-76
UniRef90_A0A086ZQ37..DNA.directed.RNA.polymerase.subunit.beta	species2	cat	-4.81395897	0.279529874	2657	643	8.12E-63	1.23E-60	dog	1.84E-60
UniRef90_Q9KHL8..D.D.dipeptidase.D.D.carboxypeptidase	species2	HMP1-II	0.449112199	0.027076751	2657	29	7.23E-59	8.76E-57	dog	1.31E-56
UniRef90_A0A3A1YQQ5..Beta.lactamase	species2	HMP1-II	1.082100169	0.067032108	2657	44	5.41E-56	8.20E-54	cat	8.20E-54
UniRef90_A0A2S1PKM6..Aminoglycoside.phosphotransferase	species2	cat	-4.534967584	0.280492609	2657	568	1.98E-55	2.00E-53	dog	2.57E-53
UniRef90_A0A089X2N7..VanW	species2	HMP1-II	0.406818394	0.026980356	2657	25	2.35E-49	2.03E-47	dog	2.67E-47
UniRef90_Q6WRY5..D.alanine..D.alanine.ligase	species2	HMP1-II	0.332276888	0.022857983	2657	22	4.01E-46	3.04E-44	dog	4.05E-44
UniRef90_A0A0H4JQQ7..Erythromycin.esterase.protein	species2	HMP1-II	0.714755437	0.049361911	2657	28	8.63E-46	5.81E-44	dog	7.84E-44
UniRef90_Q46194..23S.rRNA.methlyase	species2	cat	-3.10250586	0.217628639	2657	507	2.50E-44	1.52E-42	dog	2.07E-42
UniRef90_Q9KHL8..D.D.dipeptidase.D.D.carboxypeptidase	species2	HMP1-II	0.449112199	0.032870374	2657	29	4.02E-41	3.48E-39	cat	3.04E-39
UniRef90_A0A089X2N7..VanW	species2	HMP1-II	0.406818394	0.032753354	2657	25	1.80E-34	1.36E-32	cat	1.26E-32
UniRef90_A0A0H4JQQ7..Erythromycin.esterase.protein	species2	HMP1-II	0.724618919	0.0599239	2657	28	8.31E-33	5.60E-31	cat	5.40E-31
UniRef90_Q93ET9..Aminoglycoside.phosphotransferase	species2	cat	-4.648757874	0.38302151	2657	1635	1.16E-32	6.36E-31	dog	7.00E-31
UniRef90_A0A1L5KFF7..COQ6.ubiquinone.biosynthesis.monooxygenase	species2	HMP1-II	4.485129244	0.115479925	2657	171	1.29E-32	7.12E-31	cat	7.34E-31
UniRef90_Q6WRY5..D.alanine..D.alanine.ligase	species2	HMP1-II	0.332276888	0.027748915	2657	22	3.22E-32	1.63E-30	cat	1.72E-30
UniRef90_P10738..rRNA.adenine.N.6.methyltransferase	species2	cat	-4.340472819	0.37706056	2657	1137	1.30E-29	6.56E-28	dog	6.56E-28
UniRef90_Q47810..Tetracycline.resistance.protein.TetM.from.transposon.TnFO1	species2	cat	-4.437293612	0.41339426	2657	1001	8.53E-25	3.98E-23	dog	4.08E-23
UniRef90_Q9KHQ6..MefEn2	species2	cat	-4.373988827	0.426241418	2657	2107	3.40E-24	1.47E-22	dog	1.54E-22
UniRef90_A0A1L5KFF7..COQ6.ubiquinone.biosynthesis.monooxygenase	species2	HMP1-II	4.435408592	0.097818611	2657	171	4.96E-23	2.00E-21	dog	2.15E-21
UniRef90_C9WIW3..Lincosamide.nucleotidyltransferase	species2	cat	-3.808908587	0.381649264	2657	1058	8.23E-23	3.12E-21	dog	3.40E-21
UniRef90_A0A1L5KKZ3..Phosphotransferase.enzyme.family	species2	cat	1.035396759	0.104664698	2657	72	1.41E-22	5.02E-21	dog	5.56E-21
UniRef90_Q93ET8..Aminoglycoside.acetyltransferase	species2	cat	-3.473410056	0.353140773	2657	1814	3.22E-22	1.08E-20	dog	1.22E-20
UniRef90_Q46305..Tetracycline.efflux.protein	species2	cat	-3.510309873	0.360392439	2657	515	2.00E-21	6.39E-20	dog	7.29E-20
UniRef90_Q08425..Tetracycline.resistance.protein.TetQ	species2	cat	-4.500574284	0.481828232	2657	1810	2.23E-20	6.75E-19	dog	7.79E-19
