clade_name	A01_02_1FE	A02_01_1FE	A03_01_1FE	A04_01_1FE	A04_04_1FE	A05_01_1FE	A06_01_1FE	A07_01_1FE	A08_01_1FE	A09_01_1FE	A09_02_1FE	A10_01_1FE	A10_02_1FE	A11_01_1FE	A13_01_1FE	A13_03_1FE	A14_01_1FE	A15_02_1FE	A19_01_1FE	A19_03_1FE	A20_01_1FE	A20_03_1FE	A22_01_1FE	A23_01_1FE	A24_02_1FE	A24_04_1FE	A25_01_1FE	A26_01_1FE	A27_02_1FE	A28_02_1FE	A29_01_1FE	A32_01_1FE	A34_01_1FE	A34_02_1FE	A35_01_1FE	A36_01_1FE	A36_02_1FE	A37_02_1FE	A39_01_1FE	A39_02_1FE	A39_04_1FE	A40_02_1FE	A41_01_1FE	A42_02_1FE	A43_02_1FE	A44_01_1FE	A45_02_1FE	A46_01_1FE	A46_02_1FE	A47_01_1FE	A47_02_1FE	A48_01_1FE	A48_05_1FE	A49_01_1FE	A53_01_1FE	A54_02_1FE	A55_01_1FE	A55_02_1FE	A56_01_1FE	A58_01_1FE	A58_03_1FE	A59_01_1FE	A62_01_1FE	A62_03_1FE	A66_02_1FE	A67_01_1FE	A68_01_1FE	A69_01_1FE	A69_02_1FE	A70_01_1FE	A70_03_1FE	A70_04_1FE	A72_01_1FE	A72_02_1FE	A73_01_1FE	A73_02_1FE	A75_02_1FE	A79_02_1FE	A81_01_1FE	A81_03_1FE	A82_02_1FE	A83_02_1FE	A85_01_1FE	A88_02_1FE	A89_01_1FE	A89_02_1FE	A90_03_1FE	A90_04_1FE	A91_01_1FE	A91_02_1FE	A92_01_1FE	A93_01_1FE	A94_01_1FE	A94_02_1FE	A94_03_1FE	A95_01_1FE	V01_01_1FE	V06_02_1FE	V07_01_2FE	V07_02_2FE	V12_01_2FE	V18_02_1FE	V19_01_2FE	V19_02_2FE	V30_01_1FE	V31_01_2FE	V32_02_2FE	V36_02_2FE	V40_01_1FE	V48_03_2FE	V50_01_1FE	V50_01_2FE	V50_02_1FE	V53_02_1FE	V54_01_1FE
k__Bacteria	99.93066	100	100	99.79971	100	99.51093	100	98.16222	99.58279	100	99.51874	100	99.7813	100	99.25345	99.89561	100	99.8418	99.0234	99.74451	100	100	100	96.07909	99.8483	99.99753	100	0	99.7525	95.71086	100	99.94415	99.97766	98.95066	99.99189	99.41541	99.97465	0	96.36754	99.98855	99.90969	99.61738	99.99364	100	99.95394	100	99.81553	99.95264	99.55649	100	98.06907	99.39522	100	100	99.95655	99.39842	100	99.80463	99.92023	100	100	100	99.39039	99.64305	99.65645	100	99.83188	100	99.9775	100	99.75932	0	99.97567	99.50097	99.68458	99.9983	99.76643	91.12435	99.37896	99.96395	97.99803	99.42282	99.98331	95.02017	99.94497	99.96595	100	99.95888	99.8136	100	99.39531	99.94645	100	99.96239	99.93012	99.63325	99.99368	100	99.97563	99.98853	99.99967	98.85825	99.91227	99.92374	99.23798	100	100	99.89923	99.43519	100	100	99.98926	99.89493	99.36486	100
k__Archaea	0.06934	0	0	0.20029	0	0.48907	0	1.83778	0.41721	0	0.48126	0	0.2187	0	0.74655	0.10439	0	0.14486	0.9766	0.25549	0	0	0	3.92091	0.1517	0.00247	0	0	0.2475	4.28799	0	0.05585	0.02234	1.04934	0.00811	0.58459	0.02535	0	3.63246	0.01145	0.09031	0.38262	0.00636	0	0.04083	0	0.18447	0.04736	0.44351	0	1.93093	0.60478	0	0	0.04345	0.60158	0	0.19537	0.07977	0	0	0	0.60961	0.35695	0.34355	0	0.16812	0	0.0225	0	0.24068	0	0	0.49903	0.31542	0.0017	0.23357	8.87565	0.61503	0.03605	2.00197	0.57718	0.01669	4.97983	0.05503	0.03302	0	0.04112	0.1864	0	0.60469	0.05355	0	0.01196	0.06988	0.36675	0.00632	0	0.02437	0.01147	0.00033	1.14175	0.08773	0.07626	0.76202	0	0	0.10077	0.56481	0	0	0.01074	0.1005	0.63514	0
k__Bacteria|p__Firmicutes	34.81094	22.19941	19.32434	18.52984	29.08029	48.64254	14.62868	74.36748	52.88717	26.28067	45.31653	4.00835	34.49715	53.59546	53.50171	24.20467	47.98485	79.21607	24.04026	23.84033	44.41823	29.695	56.95481	65.71357	65.69709	51.71679	36.32782	0	62.65109	51.6378	78.36287	64.6227	45.21442	35.45244	19.87829	41.26096	29.21749	0	41.37817	36.55338	12.69671	51.56359	24.10252	30.3638	32.72743	66.21871	37.21375	37.04142	55.75645	4.19975	26.10306	47.43813	14.75958	22.32503	72.84144	39.47118	46.57422	28.77818	53.06498	56.36151	13.07556	31.7653	55.50313	25.25362	37.5295	80.11991	69.49123	53.90946	35.06389	41.29364	37.37785	0	53.48112	17.60926	55.75487	29.81427	55.77008	51.7814	54.44838	34.23704	40.01508	54.99395	53.21998	24.66021	44.82425	72.51759	60.3972	60.57576	68.82318	50.39018	71.80754	24.78559	33.58057	47.00508	46.09504	62.99436	72.93757	48.83834	66.32625	47.39396	43.11219	44.1456	39.34294	67.54097	53.44165	34.117	15.95905	52.07267	50.33884	61.87144	38.9177	27.24405	43.23801	30.31012	43.02488
k__Bacteria|p__Tenericutes	26.6741	0.78459	0	1.10574	0.11203	0.09834	0.87279	0.35445	0.17324	0	2.66905	0	0.44778	0.00804	0.57606	0.01416	0	0.81302	0.24517	0	0.69573	22.17891	18.16459	0	0.28466	12.53838	0.23541	0	1.92862	0.5564	0.04479	0.80511	0.00148	0.11193	7.8762	1.34098	0	0	0	8.73459	2.38852	0.05182	0.51673	8.74057	2.00167	0	0.01938	0.36021	0.28726	0.02109	0.14789	0.86921	5.06421	6.34662	0.06876	0	1.2028	12.43895	0.21779	16.68848	51.68385	0.0138	0.04629	0.48971	0.48618	0.01853	0.00622	0.14745	37.46177	0.05857	7.00542	0	0.414	0.01695	3.10835	0.00338	0.25201	0.64002	0.12688	8.51514	0.08444	0	0.9668	0.51238	1.19643	3.73206	0.37914	6.73319	0.60516	3.16053	0.05381	0	2.33955	0.1692	0.29885	0.30202	0	0	1.07932	4.83372	5.14228	0.98609	0.01704	3.15323	0.04738	0.44528	0	0.68616	1.77814	0.14429	0.06591	1.06237	3.19938	2.43483	0.00023
k__Bacteria|p__Bacteroidetes	17.89555	12.96655	14.14035	30.00545	50.82718	14.3553	84.25778	13.29708	17.50292	9.20129	3.29362	5.68654	18.43194	3.82308	13.67938	40.49222	6.85617	18.90228	8.61912	42.46245	19.24762	29.53121	20.52659	4.93345	15.32134	29.55242	45.29453	0	21.6866	7.72948	7.1488	21.96931	38.69082	2.12364	69.96048	28.0771	41.71527	0	4.18549	37.5023	4.72277	10.23913	24.46852	11.90501	41.4458	5.79943	45.89891	55.97537	8.70971	2.99972	1.89749	24.29931	9.2478	69.68633	18.08232	30.77089	48.98327	3.19293	20.49763	20.36348	10.04287	16.03899	16.42997	9.48209	13.38625	8.1042	0.40823	7.21806	14.10404	40.9085	45.93943	0	44.66495	40.46799	28.92927	11.33746	34.67572	4.53196	16.43035	22.24454	4.65401	2.7026	34.44125	2.11529	30.49151	17.93802	13.3647	16.90047	22.36271	42.07194	4.27322	4.98648	53.24942	35.41591	36.61523	11.55026	5.01503	18.67287	25.85146	27.4867	49.29726	3.42065	39.61462	13.4659	23.35341	37.17339	0.34549	13.67063	24.30907	12.06344	23.98348	6.41292	31.28417	5.59706	22.10724
k__Bacteria|p__Proteobacteria	10.76718	60.27782	61.19689	44.76412	13.66081	31.13009	0.24075	5.57521	23.66635	61.90619	38.81208	89.48852	30.07426	31.57884	9.86097	31.49447	21.25161	0.86899	22.59277	28.34727	34.60139	18.17024	2.80854	3.28879	14.67208	2.18027	12.15644	0	6.16619	19.77093	5.39287	7.55222	14.29666	45.4388	1.61383	12.57646	25.7416	0	33.09666	7.90828	68.24338	13.62181	48.22841	30.48448	19.78593	12.18331	10.54099	2.75205	28.37079	87.87826	51.31807	24.86183	62.9519	1.05392	5.39776	21.66287	2.63702	9.03432	9.75147	4.33903	14.36172	36.59673	18.24338	59.94188	38.00047	4.07001	22.44448	9.32099	11.88263	15.38527	2.98616	0	1.05979	29.4491	3.72942	52.09538	2.01025	17.55006	17.92937	26.61823	33.44768	15.78639	4.57759	59.77831	19.02023	3.22717	20.08986	9.5844	3.14142	2.91387	9.15953	64.79443	8.70882	11.12698	16.2975	6.20266	18.26164	26.8408	1.252	15.77263	1.98614	43.12995	18.45282	3.37455	15.90396	24.02759	80.4475	30.82156	17.84088	4.97103	25.11185	56.16125	11.50416	47.22363	32.98977
k__Bacteria|p__Actinobacteria	9.76793	1.25737	4.712	0.73492	0.70716	4.19085	0	2.5576	1.66389	1.08412	9.27668	0.0846	2.29921	10.85308	21.34436	3.56469	3.51503	0.02524	4.99085	5.09446	0.99262	0.42389	1.12085	5.74075	3.42397	4.00967	0.09456	0	1.52932	13.46417	8.51999	1.70974	1.59582	7.40809	0.66309	10.28005	3.30029	0	6.03025	0.51248	10.5744	2.47841	1.40042	18.50139	0.32229	15.7805	0.36837	2.22854	2.01173	0.18682	2.28663	1.51192	1.32404	0.52188	0.32036	3.49538	0.59777	5.89349	1.86638	1.24062	10.76347	3.26662	2.6378	4.03475	7.66443	3.93819	5.26654	29.12675	1.41841	1.75511	2.12648	0	0.27741	0.75841	1.24763	3.21543	1.93989	8.40981	1.82412	1.64749	12.75567	25.79396	6.61157	5.45994	1.04716	0.40477	2.57443	3.15581	2.98891	0.27948	8.02867	5.17903	0.24223	5.52113	0.405	4.04463	3.14894	5.11198	0.82595	0.5151	0.29934	3.06701	2.18222	3.03771	6.1019	3.80164	2.54537	0.28607	4.51291	20.85302	5.92385	3.71375	1.62568	13.79446	1.84204
k__Archaea|p__Candidatus_Thermoplasmatota	0.06934	0	0	0	0	0	0	0	0.3927	0	0	0	0	0	0	0.0423	0	0	0.68151	0	0	0	0	0.03668	0.01551	0	0	0	0.11657	0.006	0	0.03253	0	0.39459	0	0.06773	0.0014	0	0	0	0	0.18062	0	0	0	0	0.04306	0	0.16166	0	0	0	0	0	0.03103	0	0	0	0.0496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0.17234	0	0.09546	0	0	0	0.03656	0.09932	0	0	0	0	0.01196	0.06988	0.33668	0	0	0	0	0	0	0.03002	0	0	0	0	0	0	0	0	0.01074	0.01717	0.00176	0
k__Bacteria|p__Lentisphaerae	0.01015	0	0	0	0	0	0	0.01255	2.32048	0	0	0	1.27687	0	0.06428	0.00021	0.0769	0	4.29639	0	0.0444	0	0	1.78753	0.09831	0	0	0	0.01228	2.37287	0.01338	0	0	0.67324	0	0	0	0	2.65002	0.15101	0.02207	4.37633	0	0	0.2561	0	0	0	0.08949	0	9.56661	0	0.20248	0	0	0.03703	0	0.01265	0.00418	0	0	0	0.15729	0.42921	2.4679	0	1.45338	0	0	0.09963	0.00923	0	0	0.0279	0.0437	0.19791	0.02011	2.86715	0.2851	1.10606	3.10546	0.08466	0	0.24098	1.25721	0.02813	0	0.02111	0.32967	0	0.06216	0	0	0.00033	0.10242	0.00875	0.59235	0.07135	0	0.401	0.07285	2.09781	0	0.07792	0.12874	0	0.01226	0.02274	0.12212	0	0	0	0.06702	0.00048	0
k__Bacteria|p__Fusobacteria	0.00481	0	0	0.0026	0	1.05709	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0.00075	0	0.07096	0	0	0.00239	0	0	0	0	0	0	0	0	0	0	0	0	0.10663	0	0	0	0	0	0	0	0	0.02572	0	0	0	0	0	0	0	0.00262	0	0	0	0	0	0	0	0	0	0.01567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02139	0	0	0	0	0.08461	0	0.14438	0	0	0	0	0	0	0	0	0	0	0	0.24569	0	0	0.00704	0	0.00327	0	0	0	0	0	0	0
