feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Tyzzerella_nexilis_SGB4588	housing	Household	2.019685493	0.134787789	2055	258	3.01E-48	1.85E-45
Succinivibrionaceae_SGB3675	housing	Household	0.32796477	0.052885722	2055	50	6.75E-10	2.08E-07
Coriobacteriaceae_SGB14744	housing	Household	-9.247751181	0.729305125	2055	1072	1.75E-07	3.60E-05
Bilophila_wadsworthia_SGB15452	housing	Household	0.235703883	0.046437008	2055	44	4.21E-07	6.49E-05
Moraxellaceae_SGB4052	housing	Household	-7.028637647	0.714684045	2055	999	7.31E-07	8.69E-05
Firmicutes_SGB4591	housing	Household	-5.905861095	0.525411774	2055	1083	8.45E-07	8.69E-05
Collinsella_sp_BA40_SGB86217	housing	Household	-8.053005643	0.85473554	2055	748	1.10E-06	9.70E-05
Clostridiaceae_SGB58537	housing	Household	-7.226503613	0.766566732	2055	1191	1.83E-06	0.000141231
Coriobacteriaceae_SGB53888	housing	Household	0.228164755	0.04893553	2055	32	3.32E-06	0.000227869
Firmicutes_SGB66068	housing	Household	-8.023081214	0.973021617	2055	890	4.24E-06	0.000261315
Lachnospiraceae_SGB106016	housing	Household	-7.458052368	0.878575056	2055	764	5.59E-06	0.000287318
Staphylococcus_pseudintermedius_SGB7827	housing	Household	0.27655363	0.060654133	2055	53	5.43E-06	0.000287318
Firmicutes_SGB47659	housing	Household	-7.258231473	0.921221851	2055	1173	6.27E-06	0.00029772
Firmicutes_SGB47660	housing	Household	-6.59894131	0.763079997	2055	1289	7.90E-06	0.000324794
Eubacteriaceae_SGB71318	housing	Household	-6.957645524	0.903704575	2055	725	7.70E-06	0.000324794
Lactobacillus_acidophilus_SGB7044	housing	Household	-10.32764631	1.407720532	2055	768	8.76E-06	0.000337737
Phocaeicola_dorei_SGB1815	housing	Household	0.225476039	0.051314065	2055	28	1.17E-05	0.000424401
Lachnospiraceae_SGB66069	housing	Household	-7.909551232	1.032902271	2055	1339	1.41E-05	0.000484
Actinobacteria_SGB62963	housing	Household	0.158363645	0.036817417	2055	28	1.78E-05	0.000577199
Allobaculum_stercoricanis_SGB29316	housing	Household	-6.597313404	0.90833905	2055	1253	2.76E-05	0.000851693
Firmicutes_SGB14909	housing	Household	-4.751932114	0.717267724	2055	712	3.00E-05	0.000882354
Limosilactobacillus_reuteri_SGB7095	housing	Household	-6.274028364	0.902509532	2055	666	4.07E-05	0.00114186
Bacteroidetes_SGB2126	housing	Household	-5.168499001	0.860332343	2055	366	5.26E-05	0.001411221
Coprococcus_sp_AF21_14LB_SGB25437	housing	Household	-6.086875904	0.970563417	2055	1043	5.72E-05	0.001459987
Firmicutes_SGB66598	housing	Household	-6.678294117	1.029261668	2055	807	5.92E-05	0.001459987
Lachnospiraceae_SGB65958	housing	Household	-6.084996082	0.982811443	2055	1364	6.92E-05	0.001642867
Firmicutes_SGB53576	housing	Household	0.141942574	0.03568344	2055	22	7.20E-05	0.001644411
Firmicutes_SGB72905	housing	Household	-6.123587563	0.716915971	2055	855	8.44E-05	0.001859767
Acinetobacter_SGB14792_SGB14792	housing	Household	-5.305343139	0.914824597	2055	828	9.57E-05	0.002013771
Firmicutes_SGB105987	housing	Household	-4.536591193	0.733633593	2055	588	9.79E-05	0.002013771
Firmicutes_SGB6132	housing	Household	-8.277618472	1.317122302	2055	979	0.00011634	0.002315533
Bifidobacterium_animalis_SGB17278	housing	Household	-5.554371311	0.992441522	2055	692	0.000132968	0.002563787
Eubacteriaceae_SGB106207	housing	Household	-6.974486541	1.356865091	2055	546	0.000260384	0.004783235
Fusobacterium_SGB14781_SGB14781	housing	Household	-6.266427914	1.139576633	2055	793	0.000263582	0.004783235
